ID;OLT;Hora;F/S/P;ONT ID;MAC;CLIENTE;S/N;RX (dBm);TX (dBm);Status;Primária;Secundária;Porta Sec.;Descrição OLT;Mudanças
8607;95;2025-06-16 09:21:44.449503;0/0/11;2;FC:1B:D1:65:A3:A7;;485754437D81B6A3;-14.95;2.2;online;AF67;AF67-S7;P9;AF67S7 P9;Não
8611;95;2025-06-16 09:21:46.007812;0/0/11;3;F0:63:F9:61:1C:A4;;48575443CCBF129D;-16.32;2.3;online;AF67;AF67-S7-A;P1;AF67S7-A P1;Não
8615;95;2025-06-16 09:21:47.858343;0/0/11;4;C0:BF:C0:6D:08:9C;;4857544304BB039A;-14.63;2.21;online;AF67;AF67-S7-A;P2;AF67S7-A P2;Não
8609;95;2025-06-16 09:21:45.252305;0/0/12;0;5C:54:6D:49:73:17;;485754433C05329B;-21.61;2.2;online;A7F24;A7F24-S6;P1;A7F24S6 P1;Não
8614;95;2025-06-16 09:21:47.408667;0/0/12;1;7C:C3:85:3B:84:70;;485754433B846F9E;-25.37;2.12;online;AF24;AF24-S4;P4;AF24S4 P4;Não
8619;95;2025-06-16 09:21:49.937497;0/0/12;2;FC:1B:D1:66:EE:17;;485754437D9526A3;-21.94;2.13;online;A7F24;A7F24-S8;P2;A7F24S8 P2;Não
8622;95;2025-06-16 09:21:52.118422;0/0/12;3;70:C7:F2:12:8F:DF;;485754434B37319E;-22.0;2.22;online;A7F24;A7F24-S8-B;P9;A7F24S8-B P9;Não
8623;95;2025-06-16 09:21:53.662291;0/0/12;4;04:25:C5:F1:C0:9A;;48575443F1C09991;-23.37;2.38;online;A7F24;A7F24-S8-B;P12;A7F24S8-B P12;Não
8625;95;2025-06-16 09:21:55.256111;0/0/12;5;5C:E8:83:19:34:5D;;485754432EF2D820;-24.31;2.1;online;A7F24;A7F24-S8-A;P7;A7F24S8-A P7;Não
8627;95;2025-06-16 09:21:56.807970;0/0/12;6;48:D5:39:A8:BF:50;;48575443A8BF4F82;-23.87;1.88;online;A7F24;A7F24-S8-B;P11;A7F24S8-B P11;Não
8630;95;2025-06-16 09:21:58.657561;0/0/12;7;F0:2F:A7:B5:4C:30;;48575443B54C2F88;-21.36;2.12;online;A7F24;A7F24-S3;P1;A7F24S3 P1;Não
8634;95;2025-06-16 09:22:00.205920;0/0/12;8;78:58:60:E3:9D:BE;;48575443FBF0139B;-25.08;2.32;online;AF24;AF24-S8-B;P14;AF24S8-B P14;Não
8638;95;2025-06-16 09:22:01.743674;0/0/12;9;A4:BE:2B:21:DD:4A;;48575443DEF85C9C;-24.56;2.19;online;A7F24;A7F24-S7;P4;A7F24S7 P4;Não
8642;95;2025-06-16 09:22:03.930733;0/0/12;10;B4:43:26:BA:0D:EC;;48575443FED9769C;-26.77;2.36;online;A7F24;A7F24-S8-B;P16;A7F24S8-B P16;Não
8647;95;2025-06-16 09:22:06.197978;0/0/12;11;AC:F9:70:2B:C0:18;;48575443A284119B;-23.87;2.38;online;AF24;AF24-S8-B;P10;AF24S8-B P10;Não
8650;95;2025-06-16 09:22:08.380993;0/0/12;12;50:1D:93:55:64:C9;;485754437556A39C;-25.37;2.21;online;AF24;AF24-S4;P2;AF24S4 P2;Não
8652;95;2025-06-16 09:22:10.210590;0/0/12;14;50:6F:77:C4:33:A5;;48575443CDCB979B;-21.67;2.2;online;A7F24;A7F24-S8-B;P15;A7F24S8-B P15;Não
8653;95;2025-06-16 09:22:11.788682;0/0/12;15;70:79:90:B2:A7:E3;;48575443B2A7E28D;-25.23;2.08;online;AF24;AF24-S8-B;P13;AF24S8-B P13;Não
8654;95;2025-06-16 09:22:13.345776;0/0/12;16;50:6F:77:A9:F6:60;;48575443CBF21D9B;-21.19;2.26;online;AF24;AF24-S3;P9;AF24S3 P9;Não
8655;95;2025-06-16 09:22:13.912611;0/0/12;17;;;48575443A84E5D9D;;;offline;AF24;AF24-S8;P2;AF24S8 P2;Não
